platform	format	family	communication	width	height	path	sha256
facebook	Carousel 4:5	04_Foundation_Memory / Future / Source	HSF	1080	1350	04_Templates/facebook/03_Carousels/04_Foundation_Memory/08_Future_Source.svg	d29f90a513565d5a2c58a6dd6aecf3269349b3a99c76dbddcc321cb29cf4c6cf
instagram	Carousel 4:5	01_Core_Issue_Resolution / Cover / Hook	CORE	1080	1350	04_Templates/instagram/03_Carousels/01_Core_Issue_Resolution/01_Cover_Hook.svg	06fa9f80cdfb1ab65853fac9ba4876ddd36d8a2530e571da0d9bc9779e80f956
instagram	Carousel 4:5	01_Core_Issue_Resolution / Issue / Context	CORE	1080	1350	04_Templates/instagram/03_Carousels/01_Core_Issue_Resolution/02_Issue_Context.svg	fc838e87ff52db1d3df8fe1dd3dcfad3e3aaa2cfdc06bdce5765071163d87737
instagram	Carousel 4:5	01_Core_Issue_Resolution / Why It Matters	CORE	1080	1350	04_Templates/instagram/03_Carousels/01_Core_Issue_Resolution/03_Why_It_Matters.svg	17b3b95fac2b635ab9130c85488b93759509954d123e66ecc486b00c61ee5095
instagram	Carousel 4:5	01_Core_Issue_Resolution / HSF Response	CORE	1080	1350	04_Templates/instagram/03_Carousels/01_Core_Issue_Resolution/04_HSF_Response.svg	099b31278b6b8799270190a736372c292fe5e5515242981e8598a0aeaf4a1be0
instagram	Carousel 4:5	01_Core_Issue_Resolution / Evidence / Human	CORE	1080	1350	04_Templates/instagram/03_Carousels/01_Core_Issue_Resolution/05_Evidence_Human.svg	a928ff4c7aa81684995265f935d9bfc26fd135cd4935d78d546199412bd42b49
instagram	Carousel 4:5	01_Core_Issue_Resolution / Action / Source	CORE	1080	1350	04_Templates/instagram/03_Carousels/01_Core_Issue_Resolution/06_Action_Source.svg	470db282acba679220fecd4c063555b07ad8bfbc42dc5f9ee2248a8f1135f8de
instagram	Carousel 4:5	02_Field_Event_Story / Cover	FIELD,EVENT	1080	1350	04_Templates/instagram/03_Carousels/02_Field_Event_Story/01_Cover.svg	10b85bb1357323f8a3e25d66ad33f5f3341cabb7eada05a34242ba51b3194722
instagram	Carousel 4:5	02_Field_Event_Story / Where / When	FIELD,EVENT	1080	1350	04_Templates/instagram/03_Carousels/02_Field_Event_Story/02_Where_When.svg	4f8b41b7fa0cb4cf988a19dfb696fe0f0fe3021e714e8664ad81966d8dad1d07
instagram	Carousel 4:5	02_Field_Event_Story / Activity	FIELD,EVENT	1080	1350	04_Templates/instagram/03_Carousels/02_Field_Event_Story/03_Activity.svg	8c4db2f4cbc26bddead6fbf15651dad4ffbc8abf346c1e02186a2ce48bac6204
instagram	Carousel 4:5	02_Field_Event_Story / People	FIELD,EVENT	1080	1350	04_Templates/instagram/03_Carousels/02_Field_Event_Story/04_People.svg	604a30b7319f600eeb545d56dceba0aae9220f6301b4649f27606fa24a63479e
instagram	Carousel 4:5	02_Field_Event_Story / Why It Matters	FIELD,EVENT	1080	1350	04_Templates/instagram/03_Carousels/02_Field_Event_Story/05_Why_It_Matters.svg	accf7cea884eed96053af6f26c9879742c5dce1d033a036c7352a306aedc5334
instagram	Carousel 4:5	02_Field_Event_Story / Result / Learning	FIELD,EVENT	1080	1350	04_Templates/instagram/03_Carousels/02_Field_Event_Story/06_Result_Learning.svg	6ff3cbb6567549c5804ec1a54a5c1d23cdd973efba23707cc89d6a1deb6a5971
instagram	Carousel 4:5	02_Field_Event_Story / Closing / Source	FIELD,EVENT	1080	1350	04_Templates/instagram/03_Carousels/02_Field_Event_Story/07_Closing_Source.svg	5fcd38c9db5c5055f87950c014a322c8ffcb65cd184b104c7c64cc54752d5d17
instagram	Carousel 4:5	03_Observance / Observance Title	OBS	1080	1350	04_Templates/instagram/03_Carousels/03_Observance/01_Observance_Title.svg	7d34653012cc9a48f7d9a51315d4eac6cd5cbc18fc7fa3b382bb1ae5f74421c9
instagram	Carousel 4:5	03_Observance / HSF Relevance	OBS	1080	1350	04_Templates/instagram/03_Carousels/03_Observance/02_HSF_Relevance.svg	0a3ba589d7709945c7ed3a325e9a1cee0a89263e584d05c5a29e880affdac1f7
instagram	Carousel 4:5	03_Observance / Fact / Issue	OBS	1080	1350	04_Templates/instagram/03_Carousels/03_Observance/03_Fact_Issue.svg	7e37b3666a28aefd5a2202401348c159997b776d1cb3df17396d60b7fe72eb49
instagram	Carousel 4:5	03_Observance / HSF Connection	OBS	1080	1350	04_Templates/instagram/03_Carousels/03_Observance/04_HSF_Connection.svg	150938658f22e2a00c4f5ab5f033cb5ff525714769b922dd21bd60b612806e78
